vehicle_id,camera_id,count,mean,std,p0013,p02,p05
40,S01c003,630,0.9226890802383423,0.04026144742965698,0.8034500094354152,0.8299776017665863,0.851243457198143
40,S01c001,66,0.9336616396903992,0.03190736472606659,0.8525502601861954,0.8594518721103668,0.8783294260501862
40,S01c004,903,0.904153048992157,0.06444843858480453,0.7291707978129387,0.7634791040420532,0.7821932077407837
49,S01c003,115921,0.9022322297096252,0.08251973986625671,0.5812060513496399,0.6580354928970337,0.7198261022567749
49,S01c001,190,0.9267279505729675,0.045456040650606155,0.7765703229069709,0.816749074459076,0.8397082835435867
49,S01c002,190,0.9266343116760254,0.04388894513249397,0.8174530012607575,0.8367140412330627,0.8548492193222046
49,S01c004,990,0.8578119277954102,0.07047634571790695,0.6759053944945336,0.7155418694019318,0.7390240281820297
48,S01c003,111156,0.8721343278884888,0.13617824018001556,0.2583315151333809,0.42467969059944155,0.5535053610801697
48,S01c001,136,0.9150838851928711,0.054604422301054,0.7919062723219394,0.7993662834167481,0.8106019794940948
48,S01c002,210,0.9224907755851746,0.04019458591938019,0.8159518327474594,0.8404163372516632,0.8514251559972763
48,S01c004,351,0.836642861366272,0.11395587772130966,0.45043390840291975,0.5047504305839539,0.5671786367893219
42,S01c003,4095,0.815937876701355,0.10672611743211746,0.477629522973299,0.5552314138412475,0.6080753684043885
42,S01c001,4656,0.8525398373603821,0.10640595853328705,0.5284952139854431,0.5975785255432129,0.6434278190135956
26,S01c003,190,0.9306266903877258,0.03687235713005066,0.855778196656704,0.8675908982753754,0.8748719185590744
26,S01c001,1485,0.9110274314880371,0.04866773262619972,0.7709600746393204,0.8007817435264587,0.8171222329139709
26,S01c002,186966,0.9423854947090149,0.05292908474802971,0.686335970968008,0.7805846691131592,0.8268004059791565
26,S01c004,276,0.9554016590118408,0.02576405368745327,0.8727527989447117,0.888565868139267,0.9045795351266861
47,S01c003,12403,0.7942052483558655,0.10309424996376038,0.4239804962456226,0.5248370051383973,0.5812012791633606
47,S01c001,3486,0.8088071942329407,0.1145244836807251,0.5019574373960495,0.5684923112392426,0.6017496436834335
47,S01c002,6,0.867213785648346,0.07032789289951324,0.7295116410553455,0.7403287947177887,0.7576825171709061
47,S01c004,276,0.9154412746429443,0.05625265836715698,0.7516004464030266,0.7819644510746002,0.8088200092315674
27,S01c003,703,0.8998422622680664,0.0580468513071537,0.6965903691291809,0.751693286895752,0.7839867472648621
27,S01c001,30135,0.8743541836738586,0.08444934338331223,0.5071063579440117,0.6315326046943665,0.708633017539978
27,S01c002,5671,0.7986587882041931,0.11200709640979767,0.43998779833316803,0.5410622596740723,0.5990272760391235
27,S01c004,253,0.9327788352966309,0.04195275157690048,0.81689541451931,0.8359952855110169,0.8506328225135803
51,S01c003,73920,0.8114281296730042,0.13190701603889465,0.364807456356287,0.4887008184194565,0.5526209652423859
51,S01c001,120,0.9055060744285583,0.04077515751123428,0.8018865766108036,0.8325379014015197,0.8375308334827423
51,S01c002,231,0.9001116752624512,0.06835193932056427,0.6711587878465652,0.7031051278114319,0.7337008118629456
51,S01c004,1891,0.8042680621147156,0.13397100567817688,0.398800030529499,0.48333928585052494,0.5397374033927917
29,S01c003,561,0.9269812703132629,0.03965730592608452,0.7951466732025146,0.8349524736404419,0.855925977230072
29,S01c001,1035,0.8992765545845032,0.05776882544159889,0.7350498873353004,0.7812253212928773,0.7969946444034577
29,S01c002,5565,0.807334840297699,0.10685902088880539,0.4124268501996994,0.5824862265586853,0.6278453946113587
29,S01c004,190,0.9348996877670288,0.044722069054841995,0.7688646779954433,0.7968242633342743,0.8283739924430847
43,S01c003,1653,0.8537306785583496,0.09940467029809952,0.5400016344070434,0.6115062999725341,0.6527174472808838
43,S01c001,703,0.8838152885437012,0.06715429574251175,0.6955446539878846,0.7489472675323486,0.7736932098865509
31,S01c003,325,0.9317290782928467,0.034323256462812424,0.8263291172266006,0.8538043284416199,0.8692606329917908
31,S01c001,2080,0.8622713088989258,0.08747987449169159,0.5733985636889934,0.6459344482421875,0.7015622079372406
31,S01c002,4371,0.8357077836990356,0.08870910853147507,0.5427949159145355,0.6304765939712524,0.6710341572761536
31,S01c004,105,0.9474881887435913,0.029858358204364777,0.8616689329624176,0.8775606083869935,0.8957226514816284
32,S01c003,105,0.9254986047744751,0.03589564561843872,0.829207379245758,0.8463947939872741,0.86627699136734
32,S01c001,2211,0.8117514848709106,0.12310438603162766,0.46646272817254064,0.5160134553909301,0.5609728395938873
32,S01c002,2556,0.8440816402435303,0.08872204273939133,0.529273514598608,0.6354770004749298,0.6748080253601074
32,S01c004,55,0.9126057028770447,0.03776199743151665,0.8396636020302772,0.8429445552825928,0.8437524676322937
28,S01c003,4851,0.8064197897911072,0.08686072379350662,0.5800691530108452,0.6311807036399841,0.660892128944397
28,S01c001,703,0.8982239365577698,0.04968298599123955,0.7432741870164872,0.7948592066764831,0.8096257090568543
28,S01c002,6786,0.8254143595695496,0.1005893424153328,0.49022785446047784,0.6068501472473145,0.6447407007217407
28,S01c004,378,0.9356757402420044,0.045012958347797394,0.7802395555317402,0.8126983284950257,0.8348322629928588
50,S01c003,6786,0.7985036373138428,0.08875042200088501,0.5666991717517376,0.638239574432373,0.6637745499610901
50,S01c001,120,0.9268380999565125,0.03557372838258743,0.836185338807106,0.8461962163448333,0.8623866021633149
50,S01c002,105,0.9352259039878845,0.03071337752044201,0.837189159154892,0.8688288712501526,0.8797485113143921
50,S01c004,2278,0.7730641961097717,0.12098187953233719,0.5332575079381466,0.5818336760997772,0.5990785181522369
46,S01c003,820,0.77968430519104,0.14059703052043915,0.36363017852902413,0.4721419459581375,0.5353062391281128
46,S01c001,1953,0.7323948740959167,0.13651952147483826,0.43711747970581055,0.4875764977931976,0.5177121996879578
46,S01c002,6,0.8974037170410156,0.029006220400333405,0.8595285128355026,0.8604858040809631,0.8620215654373169
46,S01c004,253,0.9100384712219238,0.08539295196533203,0.5736504437685013,0.6488701581954956,0.691636610031128
56,S01c003,1081,0.8083516359329224,0.09640350192785263,0.5881079955101013,0.6352683544158936,0.6611459255218506
56,S01c001,10,0.9480017423629761,0.01889609731733799,0.9150259599745274,0.9168189132213592,0.919695308804512
56,S01c002,45,0.8985474705696106,0.06504585593938828,0.7570241322040557,0.7727524209022522,0.7827383160591126
56,S01c004,1770,0.8095846176147461,0.09703552722930908,0.5721681256711483,0.6174208128452301,0.6461545020341873
57,S01c003,1540,0.7919974327087402,0.12215176224708557,0.43426501162052156,0.516614556312561,0.5609226882457733
57,S01c001,105,0.89375901222229,0.0767207145690918,0.5622592700004577,0.6955732107162476,0.7399920225143433
57,S01c002,15,0.9090362191200256,0.05278412625193596,0.7659941758871078,0.7889780068397522,0.8258504629135132
57,S01c004,2850,0.8293383121490479,0.10967756062746048,0.389468377712369,0.5526590132713318,0.6222443521022797
58,S01c003,666,0.8131739497184753,0.09453391283750534,0.45018844567239286,0.5758909583091736,0.6337097436189651
58,S01c001,78,0.8794134259223938,0.0545966662466526,0.7585399845480919,0.7763267350196839,0.7853263288736343
58,S01c004,1485,0.7853986620903015,0.14099471271038055,0.37900654882192614,0.47024282336235046,0.5253417372703553
60,S01c003,820,0.8442908525466919,0.08189254999160767,0.5400241495490075,0.6563348400592804,0.7070820778608322
60,S01c001,15,0.9197024703025818,0.03146640211343765,0.8757336531877518,0.8758302450180053,0.8759852051734924
60,S01c002,45,0.9276669025421143,0.029693858698010445,0.8309036594867706,0.8666303849220276,0.8816998958587646
60,S01c004,1378,0.8814562559127808,0.06483747065067291,0.7316975413680077,0.751566389799118,0.7693456619977951
59,S01c003,780,0.7986122965812683,0.13117584586143494,0.3513271425694227,0.4866295826435089,0.5464918076992035
