vehicle_id,camera_id,count,mean,std,p0013,p02,p05,p10
14,S01c004,325,0.8358834385871887,0.0904182717204094,0.5431240781784058,0.6121084570884705,0.6752679586410523,0.7168650388717651
15,S01c003,105,0.9623610973358154,0.020531145855784416,0.9012329818725586,0.9140758061408997,0.9247344374656677,0.9329156160354615
15,S01c001,15,0.9533005356788635,0.024662410840392113,0.9002410234212875,0.9040736436843873,0.9102222323417664,0.9168689966201782
15,S01c002,45,0.93534255027771,0.02609044313430786,0.8796040543794632,0.8894007754325867,0.8933343172073365,0.9000996232032776
15,S01c004,91,0.9547317624092102,0.01650608330965042,0.9030967759490013,0.9184133052825928,0.9231285452842712,0.9302017688751221
38,S01c003,66,0.9110879302024841,0.03376002237200737,0.8415263288915157,0.8470748960971832,0.8515959978103638,0.856447696685791
38,S01c001,78,0.8813968300819397,0.05345633998513222,0.7246183815300464,0.75843470454216,0.787400272488594,0.8087091386318207
38,S01c004,325,0.8329234719276428,0.1212199479341507,0.4839319437146187,0.5414493775367737,0.5925269365310669,0.6398913145065308
17,S01c003,136,0.8197706341743469,0.11308354884386063,0.46551223880052567,0.5468661546707153,0.6311919540166855,0.6725997030735016
17,S01c001,15,0.9352284073829651,0.023844795301556587,0.8871811347484588,0.8884308052062988,0.8904356241226197,0.9005560874938965
17,S01c002,28,0.8969067335128784,0.07596538960933685,0.728614540797472,0.7349905478954315,0.7464088201522827,0.7602461814880371
17,S01c004,120,0.8694572448730469,0.05511981621384621,0.7147519288361073,0.7444399785995484,0.7668276965618134,0.795545244216919
16,S01c003,153,0.9324191212654114,0.03281589224934578,0.8412330390453339,0.8573751473426818,0.8642402768135071,0.8855017900466919
16,S01c001,91,0.9404440522193909,0.029765071347355843,0.8763945435285568,0.8825230121612548,0.8901145160198212,0.8992749452590942
16,S01c002,10,0.945314884185791,0.01771935075521469,0.9140539304852485,0.9158006286621094,0.9186028182506562,0.9232731342315674
16,S01c004,496,0.8794761896133423,0.08908838033676147,0.5404169737994671,0.5914599359035492,0.699955552816391,0.7530218362808228
18,S01c003,105,0.8537846207618713,0.09411760419607162,0.5977483250617981,0.648440511226654,0.6820962786674499,0.7025430083274842
18,S01c001,15,0.9170634150505066,0.043995484709739685,0.8218000765562058,0.8305483627319336,0.8445830464363098,0.8549676179885864
18,S01c002,36,0.9098222255706787,0.036971356719732285,0.8415286948978901,0.8466804802417756,0.8490993231534958,0.8563126623630524
18,S01c004,105,0.9204529523849487,0.03666992112994194,0.8220954617023468,0.8315805411338806,0.8623522281646728,0.8759501218795777
55,S01c003,36,0.9293373823165894,0.025675253942608833,0.8747468938231469,0.8775099039077758,0.8842847794294357,0.8922738432884216
55,S01c001,66,0.945522129535675,0.02454482391476631,0.8828941711783409,0.8910029172897339,0.9013864696025848,0.9094876050949097
55,S01c004,253,0.8857492208480835,0.07192491739988327,0.6908278854131699,0.7281823992729187,0.7535407185554505,0.7734419345855713
39,S01c003,36,0.9345591068267822,0.02825850620865822,0.8483848951160907,0.8650428116321563,0.8744443655014038,0.9107855260372162
39,S01c001,55,0.9404981732368469,0.029032418504357338,0.8618184566020965,0.8654730081558227,0.8877148389816284,0.9010206937789917
39,S01c004,210,0.9065166711807251,0.05467614904046059,0.755634389424324,0.7888753116130829,0.8129338502883912,0.8318573236465454
19,S01c003,78,0.9338763356208801,0.04138898476958275,0.811433067125082,0.821828908920288,0.848529714345932,0.8755727708339691
19,S01c001,55,0.8752255439758301,0.05187658220529556,0.7485610635399819,0.7759580039978027,0.7954525709152221,0.8090145111083984
19,S01c002,6,0.903035581111908,0.05001838877797127,0.8077617221474648,0.8146438956260681,0.8256848156452179,0.8440863490104675
19,S01c004,253,0.8825123310089111,0.08826649934053421,0.5830116093158721,0.6330860710144043,0.7058011412620544,0.7625174880027771
20,S01c003,78,0.941636323928833,0.027161650359630585,0.8777485451579093,0.8868072783946991,0.8941249489784241,0.9067798495292664
20,S01c001,55,0.9396874904632568,0.03279855474829674,0.8723050818204879,0.8748283100128174,0.8799405217170715,0.8916750431060791
20,S01c002,6,0.9380803108215332,0.030248358845710754,0.8936692508459091,0.8942394614219665,0.8951542377471924,0.8966788649559021
20,S01c004,253,0.8857592940330505,0.0802670493721962,0.6617854521036148,0.6970223331451416,0.7225512623786926,0.7573989629745483
21,S01c003,66,0.9248443245887756,0.04256098344922066,0.8409245323240757,0.845867258310318,0.8531999886035919,0.8606654107570648
21,S01c001,15,0.8976455330848694,0.046506479382514954,0.8053245226979255,0.8162274932861329,0.833718889951706,0.8472323894500733
21,S01c002,36,0.8940891623497009,0.05438913032412529,0.7922460460066796,0.7955564618110657,0.7989885807037354,0.8165347576141357
21,S01c004,78,0.9301426410675049,0.03614332154393196,0.8208444712400437,0.8432557928562164,0.8629092603921891,0.8726489543914795
22,S01c003,105,0.9049948453903198,0.038520071655511856,0.8283493196487427,0.8368226742744446,0.8477227687835693,0.8531144261360168
22,S01c001,55,0.9098146557807922,0.041844453662633896,0.8218960056066513,0.8362481379508973,0.8439011454582215,0.8536988973617554
22,S01c004,300,0.8138755559921265,0.11684456467628479,0.47464165523946283,0.5474581241607666,0.603742727637291,0.6513878881931305
24,S01c003,91,0.8914034366607666,0.07260987907648087,0.6934277276396752,0.7218156814575195,0.7588127553462982,0.7874091267585754
24,S01c001,15,0.9123650789260864,0.03645778447389603,0.8594294888496399,0.8597948837280274,0.8603810787200927,0.8663660287857056
24,S01c002,36,0.8834910988807678,0.07243315875530243,0.7093187105953693,0.7200019776821136,0.728856548666954,0.756944328546524
24,S01c004,78,0.9347875714302063,0.03542028367519379,0.8199247259497643,0.8419037473201751,0.8697257339954376,0.8840031087398529
25,S01c003,66,0.9347717761993408,0.029702501371502876,0.8549011676013469,0.8665951788425446,0.8890144228935242,0.8955802917480469
25,S01c001,21,0.923753023147583,0.051271162927150726,0.8054133694171905,0.8216335296630859,0.847655177116394,0.856756329536438
25,S01c002,120,0.9208457469940186,0.03555213287472725,0.8321230929493905,0.853558247089386,0.8584045708179474,0.872052663564682
40,S01c003,28,0.9599714279174805,0.016499651595950127,0.9308512641131877,0.932147399187088,0.9356980472803116,0.94082270860672
40,S01c001,45,0.9471915364265442,0.023188449442386627,0.9034261622428894,0.9035546541213989,0.9083883166313171,0.9120579600334168
40,S01c004,231,0.9512697458267212,0.03054942563176155,0.8350114428400993,0.8755711674690246,0.8881173133850098,0.9056245684623718
42,S01c003,171,0.9072610139846802,0.060705915093421936,0.7307670837044716,0.7605196475982666,0.7929457724094391,0.8177900314331055
42,S01c001,4278,0.8675650954246521,0.09318309277296066,0.5620172079980373,0.6429157102108002,0.6853117644786835,0.725267904996872
48,S01c003,87153,0.9245916604995728,0.05289822816848755,0.6425877628326416,0.7521918678283691,0.8276066064834595,0.8694795846939087
48,S01c001,136,0.9150838851928711,0.054604422301054,0.7919062723219394,0.7993662834167481,0.8106019794940948,0.8204896152019501
48,S01c002,190,0.9251595735549927,0.0397927388548851,0.8154805502653122,0.8386192083358764,0.8521312206983567,0.8622278094291687
48,S01c004,276,0.8722631335258484,0.0716736912727356,0.7056418973207473,0.7246478796005249,0.7427075654268265,0.7645191252231598
26,S01c003,190,0.9306266903877258,0.03687235713005066,0.855778196656704,0.8675908982753754,0.8748719185590744,0.8809023141860962
26,S01c001,465,0.9477502107620239,0.02594328671693802,0.8632724205017089,0.8884394454956055,0.8986967921257019,0.9106164813041687
26,S01c002,150975,0.958548367023468,0.03295684978365898,0.7981641356348992,0.8581793355941773,0.8900884330272675,0.9130040884017945
26,S01c004,253,0.9578889012336731,0.02501356601715088,0.8726807579278946,0.8890696883201599,0.9044751167297364,0.9215553641319275
49,S01c003,1953,0.8978565335273743,0.06452959030866623,0.6219291553497315,0.7363528990745545,0.7824617385864258,0.8156304240226746
49,S01c001,190,0.9267279505729675,0.045456040650606155,0.7765703229069709,0.816749074459076,0.8397082835435867,0.8679696202278138
49,S01c002,171,0.9293137192726135,0.04338061437010765,0.8171998357772827,0.8416146397590637,0.8559941053390503,0.8696433901786804
49,S01c004,595,0.8908365368843079,0.05167989805340767,0.7791334967970848,0.7975709414482117,0.8066938102245331,0.8187847375869751
27,S01c003,561,0.9149748682975769,0.04416690394282341,0.771478349685669,0.8140836238861084,0.8339087963104248,0.8521345853805542
27,S01c001,22791,0.894809365272522,0.0745057687163353,0.513481803715229,0.6623072504997254,0.7471539676189423,0.8055563569068909
27,S01c002,990,0.8988280296325684,0.05904407799243927,0.7217744570016861,0.7609173512458801,0.7870305985212326,0.813712602853775
27,S01c004,253,0.9327788352966309,0.04195275157690048,0.81689541451931,0.8359952855110169,0.8506328225135803,0.8688407182693482
29,S01c003,496,0.9342143535614014,0.03362107649445534,0.8330163916647434,0.8591636717319489,0.875254675745964,0.8882176876068115
29,S01c001,1035,0.8992765545845032,0.05776882544159889,0.7350498873353004,0.7812253212928773,0.7969946444034577,0.8191559076309204
29,S01c002,1035,0.8834898471832275,0.07741455733776093,0.6205608925938606,0.7026052784919739,0.735933494567871,0.7634365320205688
29,S01c004,190,0.9348996877670288,0.044722069054841995,0.7688646779954433,0.7968242633342743,0.8283739924430847,0.8739892244338989
43,S01c003,21,0.9728619456291199,0.011135180480778217,0.9518945055007935,0.9523521184921264,0.953086256980896,0.9540683031082153
43,S01c001,630,0.8892859816551208,0.06418175995349884,0.7308936170041561,0.7600484561920166,0.7805199503898621,0.794932746887207
31,S01c003,253,0.9408741593360901,0.027644813060760498,0.8677270187139511,0.8766543889045715,0.890646755695343,0.9074056506156921
31,S01c001,1596,0.8861526846885681,0.06795106083154678,0.7119327382147312,0.746395367383957,0.7682952433824539,0.7865488529205322
31,S01c002,630,0.9066978096961975,0.05542450025677681,0.7043523346960544,0.7639529752731323,0.7992325931787491,0.8306026697158814
31,S01c004,105,0.9474881887435913,0.029858358204364777,0.8616689329624176,0.8775606083869935,0.8957226514816284,0.9005822539329529
32,S01c003,91,0.9271764159202576,0.034587763249874115,0.846498316347599,0.8548006772994995,0.8681979775428772,0.8793792724609375
32,S01c001,595,0.8486296534538269,0.11357173323631287,0.5478864067435265,0.5871955156326294,0.6234888911247254,0.6613932251930237
32,S01c002,351,0.909971296787262,0.05719377472996712,0.6946106994152069,0.7403013110160828,0.7969892024993896,0.8305342793464661
32,S01c004,55,0.9126057028770447,0.03776199743151665,0.8396636020302772,0.8429445552825928,0.8437524676322937,0.8584468722343445
28,S01c003,903,0.8574957251548767,0.069957435131073,0.6651240611195565,0.7095896577835084,0.7374040722846985,0.7593499541282653
28,S01c001,561,0.9120578169822693,0.04149900749325752,0.7819575233459473,0.8225385665893554,0.8384064435958862,0.851020336151123
28,S01c002,1540,0.9076639413833618,0.06137407571077347,0.6706577110171318,0.737615954875946,0.7965502679347992,0.8294776678085327
28,S01c004,378,0.9356757402420044,0.045012958347797394,0.7802395555317402,0.8126983284950257,0.8348322629928588,0.8707677364349365
44,S01c003,595,0.8617463707923889,0.09410898387432098,0.5462731581091881,0.6061381459236145,0.6636258065700531,0.7417943716049195
44,S01c001,1275,0.8148998618125916,0.10562797635793686,0.5722402647018433,0.6129532432556153,0.6373879492282868,0.6613385081291199
44,S01c004,276,0.9126333594322205,0.08238178491592407,0.6571973966062069,0.6795551776885986,0.7121687233448029,0.7567523717880249
45,S01c003,496,0.8750066161155701,0.07983874529600143,0.6670680041611194,0.7161391854286194,0.737916499376297,0.7654223442077637
45,S01c001,1176,0.7675407528877258,0.16011634469032288,0.3250769603997469,0.41937820613384247,0.47984521836042404,0.5415731072425842
45,S01c004,231,0.9240582585334778,0.05751793459057808,0.7592727771401405,0.7796459078788758,0.7914529144763947,0.8367725014686584
46,S01c003,465,0.8367238640785217,0.10467047989368439,0.5972054306983948,0.614246985912323,0.6378254652023315,0.6836200833320618
46,S01c001,1128,0.7687705755233765,0.11815663427114487,0.4936425563454628,0.5569059455394745,0.5862304270267487,0.6186436831951141
46,S01c004,253,0.9100384712219238,0.08539295196533203,0.5736504437685013,0.6488701581954956,0.691636610031128,0.7884364008903504
47,S01c003,595,0.8368734121322632,0.1113244965672493,0.5422168991565705,0.5923298740386963,0.6384222209453583,0.6719897747039795
47,S01c001,1653,0.8181606531143188,0.10936286300420761,0.5605677195549011,0.6001789617538452,0.6267244338989257,0.6673273921012879
47,S01c004,276,0.9154412746429443,0.05625265836715698,0.7516004464030266,0.7819644510746002,0.8088200092315674,0.8295896947383881
